LanTotal2019,ChenTotal2020,ChenTotal2019,ShiTotal2020,ShiTotal2019,LanTotal2019.Writing,LanTotal2019.Feasibility,LanTotal2019.Creativity,LanTotal2019.Potential_impact,ChenTotal2020.Writing,ChenTotal2020.Feasibility,ChenTotal2020.Creativity,ChenTotal2020.Potential_impact,ShiTotal2020.Writing,ShiTotal2020.Feasibility,ShiTotal2020.Creativity,ShiTotal2020.Potential_impact,text_length,sd_length,lds,kw_text,feamatch,crvmatch,BadEssayMatch,GoodEssayMatch
5.5,5,5,7,7,2,1,1.5,1,2,1,1,1,3.5,1,1.5,1.5,247,19.904773,6.88,19.28,11,5,2.29,4.08
5,3.5,6.5,6,8,2,1,1,1,2,0.5,0.5,0.5,2.5,1,1,1,260,7.436397,8.96,2.75,11,12,3.04,2.24
6.5,5,6,7,6.5,2,1.5,1.5,1.5,1.5,1,1,1.5,3.5,0.5,1.5,1.5,159,7.815583,8.266666667,17.71,9,10,2.19,2.04
7.5,5,8,7,8.5,3.5,0.5,2,1.5,2,0.5,1,1.5,3,1.5,1,1,212,8.816415,8.65,19.75,11,10,1.63,2.51
9,8,5,6.5,5.5,3.5,1.5,2,2,2,2,2,2,3,1,2,1,203,10.066032,6.68,13.46,15,4,2.53,5.11
8,6,6.5,8,8,3,2,1.5,1.5,1.5,2,1.5,1,3,1,2,2,140,6.952218,5,18.91,9,9,2.09,2.53
8,8.5,7,7.5,8,2.5,2,1.5,2,3,2,1.5,2,3,1,1.5,1.5,352,9.504823,10.36666667,19.68,14,6,2.16,7.14
7.5,8,8,7,7.5,3,2,1,1.5,2.5,2,2,1.5,3,1.5,1,1.5,548,13.717791,10.08,12.12,14,17,2.92,5.13
8,7,5,6.5,7.5,3,2,1.5,1.5,2,2,1.5,1.5,3,1,2,1,196,8.181789,5.433333333,12.63,13,3,2.77,5.69
9,8,6,6.5,7.5,3.5,2,2,1.5,2,2,2,2,2.5,1,1.5,1.5,193,8.948464,6.24,12.26,13,9,2.19,3.83
7,4.5,6,7,7.5,2.5,1.5,1.5,1.5,1.5,1.5,1,0.5,3,1,1.5,1.5,152,12.816006,7.4,16.26,9,12,2.46,5.13
8,5.5,8,8,7.5,3,1.5,2,1.5,2,1,1.5,1,3,1.5,2,2,228,22.35835,9.75,15.91,10,12,2.25,3.34
7.5,7.5,6.5,6.5,7.5,3,1.5,1.5,1.5,2.5,1.5,1.5,2,3,1.5,1,1,977,12.405748,6.02,13.81,13,16,1.82,3.89
